stage,engine,query,filter,sel,threads,warm_s
g-1m-q,A-ALIGNED,Q2,F3,S1,1,0.014907
g-1m-q,A-ALIGNED,Q2,F3,S1,4,0.011332
g-1m-q,A-ALIGNED,Q2,F4,S0,1,0.046439
g-1m-q,A-ALIGNED,Q2,F4,S0,4,0.023680
g-1m-q,A-ALIGNED,Q2,F4,S1,1,0.019371
g-1m-q,A-ALIGNED,Q2,F4,S1,4,0.012766
g-1m-q,A-ALIGNED,Q2,F5,S0,1,0.014177
g-1m-q,A-ALIGNED,Q2,F5,S0,4,0.011212
g-1m-q,A-ALIGNED,Q2,F5,S1,1,0.017731
g-1m-q,A-ALIGNED,Q2,F5,S1,4,0.010612
g-1m-q,A-ALIGNED,Q3,F1,S0,1,0.009331
g-1m-q,A-ALIGNED,Q3,F1,S0,4,0.009350
g-1m-q,A-ALIGNED,Q3,F1,S1,1,0.009944
g-1m-q,A-ALIGNED,Q3,F1,S1,4,0.011151
g-1m-q,A-ALIGNED,Q3,F2,S0,1,0.009375
g-1m-q,A-ALIGNED,Q3,F2,S0,4,0.010082
g-1m-q,A-ALIGNED,Q3,F2,S1,1,0.008906
g-1m-q,A-ALIGNED,Q3,F2,S1,4,0.009355
g-1m-q,A-ALIGNED,Q3,F3,S0,1,0.009336
g-1m-q,A-ALIGNED,Q3,F3,S0,4,0.009198
g-1m-q,A-ALIGNED,Q3,F3,S1,1,0.009346
g-1m-q,A-ALIGNED,Q3,F3,S1,4,0.009095
g-1m-q,A-ALIGNED,Q3,F4,S0,1,0.009114
g-1m-q,A-ALIGNED,Q3,F4,S0,4,0.008778
g-1m-q,A-ALIGNED,Q3,F4,S1,1,0.009154
g-1m-q,A-ALIGNED,Q3,F4,S1,4,0.008953
g-1m-q,A-ALIGNED,Q3,F5,S0,1,0.009018
g-1m-q,A-ALIGNED,Q3,F5,S0,4,0.009344
g-1m-q,A-ALIGNED,Q3,F5,S1,1,0.009768
g-1m-q,A-ALIGNED,Q3,F5,S1,4,0.009232
g-1m-q,A-ALIGNED,Q5,F1,S0,1,0.018422
g-1m-q,A-ALIGNED,Q5,F1,S0,4,0.011376
g-1m-q,A-ALIGNED,Q5,F1,S1,1,0.017638
g-1m-q,A-ALIGNED,Q5,F1,S1,4,0.011590
g-1m-q,A-ALIGNED,Q5,F2,S0,1,0.009800
g-1m-q,A-ALIGNED,Q5,F2,S0,4,0.008548
g-1m-q,A-ALIGNED,Q5,F2,S1,1,0.009161
g-1m-q,A-ALIGNED,Q5,F2,S1,4,0.008606
g-1m-q,A-ALIGNED,Q5,F3,S0,1,0.016154
g-1m-q,A-ALIGNED,Q5,F3,S0,4,0.010963
g-1m-q,A-ALIGNED,Q5,F3,S1,1,0.015124
g-1m-q,A-ALIGNED,Q5,F3,S1,4,0.012535
g-1m-q,A-ALIGNED,Q5,F4,S0,1,0.045624
g-1m-q,A-ALIGNED,Q5,F4,S0,4,0.022146
g-1m-q,A-ALIGNED,Q5,F4,S1,1,0.019217
g-1m-q,A-ALIGNED,Q5,F4,S1,4,0.012828
g-1m-q,A-ALIGNED,Q5,F5,S0,1,0.013956
g-1m-q,A-ALIGNED,Q5,F5,S0,4,0.010725
g-1m-q,A-ALIGNED,Q5,F5,S1,1,0.017630
g-1m-q,A-ALIGNED,Q5,F5,S1,4,0.011117
g-1m-q,A-NORMAL,Q1,F1,S0,1,0.017733
g-1m-q,A-NORMAL,Q1,F1,S0,4,0.011624
g-1m-q,A-NORMAL,Q1,F1,S1,1,0.015647
g-1m-q,A-NORMAL,Q1,F1,S1,4,0.010712
g-1m-q,A-NORMAL,Q1,F2,S0,1,0.010383
g-1m-q,A-NORMAL,Q1,F2,S0,4,0.008954
g-1m-q,A-NORMAL,Q1,F2,S1,1,0.010082
g-1m-q,A-NORMAL,Q1,F2,S1,4,0.008463
g-1m-q,A-NORMAL,Q1,F3,S0,1,0.015545
g-1m-q,A-NORMAL,Q1,F3,S0,4,0.010916
g-1m-q,A-NORMAL,Q1,F3,S1,1,0.014538
g-1m-q,A-NORMAL,Q1,F3,S1,4,0.010978
g-1m-q,A-NORMAL,Q1,F4,S0,1,0.046925
g-1m-q,A-NORMAL,Q1,F4,S0,4,0.022923
g-1m-q,A-NORMAL,Q1,F4,S1,1,0.019166
g-1m-q,A-NORMAL,Q1,F4,S1,4,0.011540
g-1m-q,A-NORMAL,Q1,F5,S0,1,0.015155
g-1m-q,A-NORMAL,Q1,F5,S0,4,0.011034
g-1m-q,A-NORMAL,Q1,F5,S1,1,0.015492
g-1m-q,A-NORMAL,Q1,F5,S1,4,0.010303
g-1m-q,A-NORMAL,Q2,F1,S0,1,0.015948
g-1m-q,A-NORMAL,Q2,F1,S0,4,0.011174
g-1m-q,A-NORMAL,Q2,F1,S1,1,0.013281
g-1m-q,A-NORMAL,Q2,F1,S1,4,0.009379
g-1m-q,A-NORMAL,Q2,F2,S0,1,0.009136
g-1m-q,A-NORMAL,Q2,F2,S0,4,0.008321
g-1m-q,A-NORMAL,Q2,F2,S1,1,0.008485
g-1m-q,A-NORMAL,Q2,F2,S1,4,0.007957
g-1m-q,A-NORMAL,Q2,F3,S0,1,0.016122
g-1m-q,A-NORMAL,Q2,F3,S0,4,0.011330
g-1m-q,A-NORMAL,Q2,F3,S1,1,0.017407
g-1m-q,A-NORMAL,Q2,F3,S1,4,0.010408
g-1m-q,A-NORMAL,Q2,F4,S0,1,0.044526
g-1m-q,A-NORMAL,Q2,F4,S0,4,0.024702
g-1m-q,A-NORMAL,Q2,F4,S1,1,0.021075
g-1m-q,A-NORMAL,Q2,F4,S1,4,0.011780
g-1m-q,A-NORMAL,Q2,F5,S0,1,0.012974
g-1m-q,A-NORMAL,Q2,F5,S0,4,0.009858
g-1m-q,A-NORMAL,Q2,F5,S1,1,0.015133
g-1m-q,A-NORMAL,Q2,F5,S1,4,0.010802
g-1m-q,A-NORMAL,Q3,F1,S0,1,0.010695
g-1m-q,A-NORMAL,Q3,F1,S0,4,0.009544
g-1m-q,A-NORMAL,Q3,F1,S1,1,0.009730
g-1m-q,A-NORMAL,Q3,F1,S1,4,0.010518
g-1m-q,A-NORMAL,Q3,F2,S0,1,0.009444
g-1m-q,A-NORMAL,Q3,F2,S0,4,0.009495
g-1m-q,A-NORMAL,Q3,F2,S1,1,0.009343
g-1m-q,A-NORMAL,Q3,F2,S1,4,0.009541
g-1m-q,A-NORMAL,Q3,F3,S0,1,0.009992
g-1m-q,A-NORMAL,Q3,F3,S0,4,0.009081
g-1m-q,A-NORMAL,Q3,F3,S1,1,0.010368
g-1m-q,A-NORMAL,Q3,F3,S1,4,0.009974
g-1m-q,A-NORMAL,Q3,F4,S0,1,0.010503
g-1m-q,A-NORMAL,Q3,F4,S0,4,0.010225
g-1m-q,A-NORMAL,Q3,F4,S1,1,0.009993
g-1m-q,A-NORMAL,Q3,F4,S1,4,0.009563
g-1m-q,A-NORMAL,Q3,F5,S0,1,0.010329
g-1m-q,A-NORMAL,Q3,F5,S0,4,0.009607
g-1m-q,A-NORMAL,Q3,F5,S1,1,0.009697
g-1m-q,A-NORMAL,Q3,F5,S1,4,0.010079
g-1m-q,A-NORMAL,Q5,F1,S0,1,0.016916
g-1m-q,A-NORMAL,Q5,F1,S0,4,0.011999
g-1m-q,A-NORMAL,Q5,F1,S1,1,0.014359
g-1m-q,A-NORMAL,Q5,F1,S1,4,0.011050
g-1m-q,A-NORMAL,Q5,F2,S0,1,0.010896
g-1m-q,A-NORMAL,Q5,F2,S0,4,0.010297
g-1m-q,A-NORMAL,Q5,F2,S1,1,0.009458
g-1m-q,A-NORMAL,Q5,F2,S1,4,0.008699
g-1m-q,A-NORMAL,Q5,F3,S0,1,0.018235
g-1m-q,A-NORMAL,Q5,F3,S0,4,0.011591
g-1m-q,A-NORMAL,Q5,F3,S1,1,0.014509
g-1m-q,A-NORMAL,Q5,F3,S1,4,0.010330
g-1m-q,A-NORMAL,Q5,F4,S0,1,0.044530
g-1m-q,A-NORMAL,Q5,F4,S0,4,0.023580
g-1m-q,A-NORMAL,Q5,F4,S1,1,0.020994
g-1m-q,A-NORMAL,Q5,F4,S1,4,0.011755
g-1m-q,A-NORMAL,Q5,F5,S0,1,0.013571
g-1m-q,A-NORMAL,Q5,F5,S0,4,0.012243
g-1m-q,A-NORMAL,Q5,F5,S1,1,0.017704
g-1m-q,A-NORMAL,Q5,F5,S1,4,0.012357
g-1m,D-WIDE,Q2,F1,S0,1,0.008965
g-1m,D-WIDE,Q2,F1,S0,4,0.006075
g-1m,D-WIDE,Q2,F2,S0,1,0.006730
g-1m,D-WIDE,Q2,F2,S0,4,0.006533
g-1m,D-JOIN,Q2,F1,S0,1,0.130123
g-1m,D-JOIN,Q2,F1,S0,4,0.055119
g-1m,D-JOIN,Q2,F2,S0,1,0.046830
g-1m,D-JOIN,Q2,F2,S0,4,0.031328
g-1m,A-ALIGNED,Q2,F1,S0,1,0.015259
g-1m,A-ALIGNED,Q2,F1,S0,4,0.010537
g-1m,A-ALIGNED,Q2,F2,S0,1,0.009173
g-1m,A-ALIGNED,Q2,F2,S0,4,0.008239
g-1m,A-NORMAL,Q2,F1,S0,1,0.015753
g-1m,A-NORMAL,Q2,F1,S0,4,0.011530
g-1m,A-NORMAL,Q2,F2,S0,1,0.010862
g-1m,A-NORMAL,Q2,F2,S0,4,0.008441
g-1m,P-CONCAT,Q2,F1,S0,1,0.1817
g-1m,P-CONCAT,Q2,F1,S0,4,0.0711
g-1m,P-CONCAT,Q2,F2,S0,1,0.1971
g-1m,P-CONCAT,Q2,F2,S0,4,0.0608
g-1m,P-JOIN,Q2,F1,S0,1,0.9174
g-1m,P-JOIN,Q2,F1,S0,4,0.2980
g-1m,P-JOIN,Q2,F2,S0,1,0.9263
g-1m,P-JOIN,Q2,F2,S0,4,0.3017
g-250k,D-WIDE,Q2,F1,S0,1,0.005570
g-250k,D-WIDE,Q2,F1,S0,4,0.005450
g-250k,D-WIDE,Q2,F2,S0,1,0.005827
g-250k,D-WIDE,Q2,F2,S0,4,0.005917
g-250k,D-WIDE,Q5,F1,S0,1,0.005907
