engine,query,filter,sel,threads,cold_s,warm_s
A-NORMAL,Q2,F5,S0,4,0.028347,0.009858
A-NORMAL,Q2,F5,S1,1,0.034254,0.015133
A-NORMAL,Q2,F5,S1,4,0.030301,0.010802
A-NORMAL,Q3,F1,S0,1,0.044741,0.010695
A-NORMAL,Q3,F1,S0,4,0.049186,0.009544
A-NORMAL,Q3,F1,S1,1,0.046550,0.009730
A-NORMAL,Q3,F1,S1,4,0.045651,0.010518
A-NORMAL,Q3,F2,S0,1,0.043532,0.009444
A-NORMAL,Q3,F2,S0,4,0.045107,0.009495
A-NORMAL,Q3,F2,S1,1,0.050517,0.009343
A-NORMAL,Q3,F2,S1,4,0.044252,0.009541
A-NORMAL,Q3,F3,S0,1,0.050926,0.009992
A-NORMAL,Q3,F3,S0,4,0.044394,0.009081
A-NORMAL,Q3,F3,S1,1,0.057996,0.010368
A-NORMAL,Q3,F3,S1,4,0.064980,0.009974
A-NORMAL,Q3,F4,S0,1,0.050512,0.010503
A-NORMAL,Q3,F4,S0,4,0.050277,0.010225
A-NORMAL,Q3,F4,S1,1,0.061918,0.009993
A-NORMAL,Q3,F4,S1,4,0.043241,0.009563
A-NORMAL,Q3,F5,S0,1,0.044574,0.010329
A-NORMAL,Q3,F5,S0,4,0.046909,0.009607
A-NORMAL,Q3,F5,S1,1,0.043119,0.009697
A-NORMAL,Q3,F5,S1,4,0.045932,0.010079
A-NORMAL,Q5,F1,S0,1,0.037593,0.016916
A-NORMAL,Q5,F1,S0,4,0.029965,0.011999
A-NORMAL,Q5,F1,S1,1,0.037705,0.014359
A-NORMAL,Q5,F1,S1,4,0.030645,0.011050
A-NORMAL,Q5,F2,S0,1,0.039572,0.010896
A-NORMAL,Q5,F2,S0,4,0.027015,0.010297
A-NORMAL,Q5,F2,S1,1,0.028818,0.009458
A-NORMAL,Q5,F2,S1,4,0.035497,0.008699
A-NORMAL,Q5,F3,S0,1,0.034740,0.018235
A-NORMAL,Q5,F3,S0,4,0.035634,0.011591
A-NORMAL,Q5,F3,S1,1,0.032255,0.014509
A-NORMAL,Q5,F3,S1,4,0.029162,0.010330
A-NORMAL,Q5,F4,S0,1,0.062599,0.044530
A-NORMAL,Q5,F4,S0,4,0.048155,0.023580
A-NORMAL,Q5,F4,S1,1,0.040419,0.020994
A-NORMAL,Q5,F4,S1,4,0.033669,0.011755
A-NORMAL,Q5,F5,S0,1,0.031232,0.013571
A-NORMAL,Q5,F5,S0,4,0.029469,0.012243
A-NORMAL,Q5,F5,S1,1,0.035400,0.017704
A-NORMAL,Q5,F5,S1,4,0.030654,0.012357
